type,value,context,confidence,first_seen,last_seen,case_count,cases,sources
ipv4,76.13.37.80,Raw IPv4 C2 endpoint (POST /ingest) used by telemetry.js with NODE_TLS_REJECT_UNAUTHORIZED=0,high,2026-05-07,2026-05-07,1,2026-05-07_EVM-DeFi-npm-typosquat-namikazesarada,Xygeni 2026-05-06
ipv4,77.246.157.26,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,77.83.247.80,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,77.83.247.81,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,79.135.105.208,Cluster 8 attacker IP (likely ProtonVPN) that downloaded the Nim implant,medium,2026-05-16,2026-05-16,1,2026-05-16_Cisco-SDWAN-vHub-AuthBypass-UAT8616,Talos clusters report
ipv4,79.137.69.34,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,80.90.39.95,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,80.90.55.44,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,82.146.50.52,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,82.202.160.36,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,83.142.209.194,Legacy C2 IP reused from Day-18 transformers.pyz lineage,high,2026-05-14,2026-05-21,2,2026-05-14_Mini-Shai-Hulud-TeamPCP-Mega-Campaign; 2026-05-21_TeamPCP-48h-Multi-Vector-SupplyChain,"Microsoft, Wiz, Aikido | Wiz 2026-05-19"
ipv4,83.168.110.191,IranBot loader host (iran.*) reached via Popa nodes (decaying),medium,2026-06-28,2026-06-28,1,2026-06-28_RoboVPN-Neunative-Vo1d-Popa-Residential-Proxy-Botnet,Synthient + Infoblox 2026-06
ipv4,83.229.126.195,Cluster 7 XMRig downloader (HK) — also a Cobalt Strike C2 host per VirusTotal,high,2026-05-16,2026-05-16,1,2026-05-16_Cisco-SDWAN-vHub-AuthBypass-UAT8616,Talos clusters report
ipv4,84.200.205.233,SimpleHelp C2 host serving UDP/5555 SimpleGateway and HTTP/5555 access endpoint,high,2026-05-26,2026-05-26,1,2026-05-26_VenomousHelper-STAC6405-Dual-RMM-IAB,Securonix 2026-05-04
ipv4,85.209.156.3,Stowaway proxy node (ports 56456 46389 8080 8082),high,2026-05-11,2026-05-11,1,2026-05-11_UAT-8302-China-Government-Espionage,https://blog.talosintelligence.com/uat-8302/
ipv4,85.215.34.119,Campaign B IONOS Frankfurt origin server (nginx + Plesk) exposed direct,high,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,CloudSEK
ipv4,86.105.25.218,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,86.105.25.219,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,88.150.220.248,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,88.151.195.133,UAT-8302 C2 or proxy,high,2026-05-11,2026-05-11,1,2026-05-11_UAT-8302-China-Government-Espionage,https://blog.talosintelligence.com/uat-8302/
ipv4,89.125.244.33,Cluster 1 operator IP,high,2026-05-16,2026-05-16,1,2026-05-16_Cisco-SDWAN-vHub-AuthBypass-UAT8616,Talos clusters report
ipv4,89.125.244.51,Cluster 1 operator IP,high,2026-05-16,2026-05-16,1,2026-05-16_Cisco-SDWAN-vHub-AuthBypass-UAT8616,Talos clusters report
ipv4,89.38.224.2,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,89.38.224.3,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,91.132.139.66,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,91.132.139.67,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,91.193.19.198,Proxied RDP relay (port 8443) into SFRTA,high,2026-05-31,2026-05-31,1,2026-05-31_BlackShadow-AbabilOfMinab-Recovery-Layer-Destruction,Gambit
ipv4,91.193.5.90,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,91.193.5.91,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,91.208.197.87,Attacker egress IP alternated with 176.123.4.44,high,2026-05-20,2026-05-20,1,2026-05-20_Storm-2949-Cloud-Identity-SSPR,Microsoft Security Blog 2026-05-18
ipv4,91.232.29.114,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,91.92.242.30,First-stage AMOS loader host serving payloads under random 16-character paths,high,2026-05-30,2026-05-30,1,2026-05-30_AMOS-OpenClaw-Skill-macOS-Stealer,Trend Micro
ipv4,92.223.66.103,Current exit node (US),high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,92.38.148.58,Current exit node (US),high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,92.38.150.143,Scanning/exploitation source IP; alternated raw-IP and hostname Referer,medium,2026-06-18,2026-06-18,1,2026-06-18_JCE-CVE-2026-48907-Joomla-Unauth-RCE,mySites.guru
ipv4,92.38.162.11,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,92.38.162.4,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,92.38.180.39,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,92.38.186.86,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,93.113.36.137,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,93.113.36.142,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,93.190.142.7,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,94.154.32.160,Icarus exfiltration C2 IP — VPS data-center hosting,high,2026-06-21,2026-06-21,1,2026-06-21_Icarus-Klue-OAuth-Salesforce-SaaS-Extortion,ReliaQuest Threat Spotlight 2026-06-17 / Huntress 2026-06-18
ipv4,94.185.85.210,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,94.23.218.129,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,94.23.27.208,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,94.242.253.11,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,94.242.253.13,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,94.242.254.43,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,94.242.254.54,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,94.242.254.8,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,94.26.226.75,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,95.141.32.237,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,95.213.164.11,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,95.213.164.12,Current exit node,high,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,95.215.61.192,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,95.216.15.11,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv4,95.216.15.25,Historical exit node,medium,2026-05-24,2026-05-24,1,2026-05-24_OperationSaffron-FirstVPN-Takedown,FBI_FLASH-20260521-001
ipv6,2606:4700:3036::6815:4ade,AAAA for www.hekeroyot[.]com (Cloudflare),medium,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,BleepingComputer
ipv6,2606:4700:3036::ac43:a40a,AAAA for www.hekeroyot[.]com (Cloudflare),medium,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,BleepingComputer
ipv6,2a0e:b107:27d0:2::2,Campaign B IPv6 host within the abused /48 prefix,high,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,CloudSEK
keyword,1.4.1,Implant version string in the initial beacon,medium,2026-05-07,2026-05-07,1,2026-05-07_QLNX-Quasar-Linux-RAT,Trend Micro 5-may-2026
keyword,Code of Conduct,Recurring email subject / body text,medium,2026-05-06,2026-05-06,1,2026-05-06_CodeOfConduct-AiTM-Storm-1747,Microsoft Threat Intelligence
keyword,Disciplinary Action,Recurring email subject / body text,medium,2026-05-06,2026-05-06,1,2026-05-06_CodeOfConduct-AiTM-Storm-1747,Microsoft Threat Intelligence
keyword,Employee Device Handling,Recurring email subject / body text,medium,2026-05-06,2026-05-06,1,2026-05-06_CodeOfConduct-AiTM-Storm-1747,Microsoft Threat Intelligence
keyword,O$$f$QtYJK,Hardcoded master password (PAM backdoor bypass),high,2026-05-07,2026-05-07,1,2026-05-07_QLNX-Quasar-Linux-RAT,Trend Micro 5-may-2026
keyword,QLNX_MANAGED,Comment marker injected in every QLNX persistence artifact (cron/systemd/init/.bashrc/desktop),high,2026-05-07,2026-05-07,1,2026-05-07_QLNX-Quasar-Linux-RAT,Trend Micro 5-may-2026
keyword,quasar_linux,DJB2 input string for the lock-file path,high,2026-05-07,2026-05-07,1,2026-05-07_QLNX-Quasar-Linux-RAT,Trend Micro 5-may-2026
keyword,Review Case Materials,Click-out button text inside the PDF,medium,2026-05-06,2026-05-06,1,2026-05-06_CodeOfConduct-AiTM-Storm-1747,Microsoft Threat Intelligence
malware,IOCONTROL ELF (D-Link/Hikvision/Red Lion/Orpak/Phoenix Contact/Teltonika),Multi-arch ICS implant,high,2026-05-03,2026-05-03,1,2026-05-03_BAUXITE-CyberAvengers-AA26-097A,Claroty Team82
marker,"""Shai-Hulud: The Third Coming"" in README of created repos",Branding marker,high,2026-04-29,2026-04-29,1,2026-04-29_ShaiHulud-Bitwarden,JFrog
md5,04194f8ddd0518fd8005f0e87ae96335,C++ stager GST Suvidha.exe (India lure),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,11705121f64fa36f1e9d7e59867b0724,Go-language stager GSTSuvidha.exe (India lure),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,124a48b78060fa851e1cc077ca35713c,ManageEngine-OpManager.msi trojanized installer,high,2026-07-03,2026-07-03,1,2026-07-03_BumbleBee-AdaptixC2-Akira-SEO-to-NTDS,The DFIR Report 2026-06-29
md5,1305e8b0f9c459d5ed85e7e474fbebb1,EDRKiller.exe,high,2026-05-12,2026-05-12,1,2026-05-12_Qilin-EDR-Killer-msimg32,Cisco Talos
md5,13669b8f2bd0af53a3fe9ac0490499e5,ABCDoor appclient.core .pyd (version v157 — September build),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,1ab58838e5790efb22f2d35ab98c0b7d,Umbrij ver. a (.NET/MSIL DLL sideloaded via a signed legit binary; ConfuserEx-obfuscated OAuth-token-theft tool),high,2026-07-06,2026-07-06,1,2026-07-06_ToddyCat-Umbrij-STRD-OAuth-Gmail,Securelist ToddyCat Umbrij (2026-06-30)
md5,22aaeb4946ba6d2f2e27feb7dbb295de,Umbrij ver. b (adds -domainAd and -savepdf profile-to-PDF dump),high,2026-07-06,2026-07-06,1,2026-07-06_ToddyCat-Umbrij-STRD-OAuth-Gmail,Securelist ToddyCat Umbrij (2026-06-30)
md5,28cb7b261f4eb97e8a4b3b0d32f8def1,Legitimate signed loader BDSubWiz.exe (Bitdefender) abused to DLL-sideload log.dll (Umbrij),high,2026-07-06,2026-07-06,1,2026-07-06_ToddyCat-Umbrij-STRD-OAuth-Gmail,Securelist ToddyCat Umbrij (2026-06-30)
md5,2c5a1dd4cb53287fe0ed14e0b7b7b1b7,RustSL loader build with Phantom Persistence (2026-01-07),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,333fd9dd9d84b58c4eef84a8d07670dd,Dire Wolf family hash,medium,2026-06-30,2026-06-30,1,2026-06-30_DireWolf-Golang-DoubleExtortion-Ransomware,AhnLab ASEC 2025-09-01
md5,3432dd9ac0df80ef86eb80bd080f839b,Umbrij ver. a (.NET/MSIL DLL; STRD OAuth stealer),high,2026-07-06,2026-07-06,1,2026-07-06_ToddyCat-Umbrij-STRD-OAuth-Gmail,Securelist ToddyCat Umbrij (2026-06-30)
md5,35dd9c3a56e88a39bf6c8fdad46b0398,NFCMultiPay APK sample (REST polling variant),high,2026-06-13,2026-06-13,1,2026-06-13_DevilNFC-NFCMultiPay-NFC-Relay,Cleafy
md5,3d3a621f852c42d97fd7260681e42508,Umbrij ver. a (.NET/MSIL DLL; STRD OAuth stealer),high,2026-07-06,2026-07-06,1,2026-07-06_ToddyCat-Umbrij-STRD-OAuth-Gmail,Securelist ToddyCat Umbrij (2026-06-30)
md5,44da29144b151062bce633e9ce62de85,Dire Wolf family hash,medium,2026-06-30,2026-06-30,1,2026-06-30_DireWolf-Golang-DoubleExtortion-Ransomware,AhnLab ASEC 2025-09-01
md5,4924b945cfdc5bfece03f5140a546384,Dire Wolf 2026 sample,medium,2026-06-30,2026-06-30,1,2026-06-30_DireWolf-Golang-DoubleExtortion-Ransomware,CYFIRMA 2026-06-26
md5,4a5195a38a458cdd2c1b5ab13af3b393,ValleyRAT plugin 保86.dll observed in ABCDoor delivery chain (2025-12-04),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,51d39aa39478beeac94f2d12f682ecce,Payload hash published with the CVE-2026-50751 Qilin-affiliate advisory (campaign-scoped),medium,2026-06-16,2026-06-16,1,2026-06-16_Qilin-CheckPoint-IKEv1-CVE-2026-50751,Check Point 2026-06-08
md5,52fda5c1b9704544f32ee98d9060e689,Payload hash published with the CVE-2026-50751 Qilin-affiliate advisory (campaign-scoped),medium,2026-06-16,2026-06-16,1,2026-06-16_Qilin-CheckPoint-IKEv1-CVE-2026-50751,Check Point 2026-06-08
md5,5b998a5bc5ad1c550564294034d4a62c,ABCDoor appclient.core .pyd (version v121 — earliest observed),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,6bc8e3505d9f51368ddf323acb6abc49,rwdrv.sys,high,2026-05-12,2026-05-12,1,2026-05-12_Qilin-EDR-Killer-msimg32,Cisco Talos
md5,73ce2438d4ed475e03727b7b000d2794,RAMMap.msi MD5 alternate hash for legacy controls,high,2026-05-15,2026-05-15,1,2026-05-15_EtherRAT-TukTuk-Gentlemen,DFIR Report TB40048
md5,77fbe265fd65c7f7b6d323fb6de6a4fd,v72HYLU3OpRBznc.ini MD5 alternate hash,high,2026-05-15,2026-05-15,1,2026-05-15_EtherRAT-TukTuk-Gentlemen,DFIR Report TB40048
md5,89ee7235906f7d12737679860264feaf,msimg32.dll,high,2026-05-12,2026-05-12,1,2026-05-12_Qilin-EDR-Killer-msimg32,Cisco Talos
md5,8c113b3aa82c81eee7c6b4ed0ba9a90f,locker.exe Akira ransomware,high,2026-07-03,2026-07-03,1,2026-07-03_BumbleBee-AdaptixC2-Akira-SEO-to-NTDS,The DFIR Report 2026-06-29
md5,9bf9f635019494c4b70fb0a7c0fb53e4,ABCDoor appclient.core .pyd (version v154),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,9d19527aeb4cabfb40bbaea6d73b5ff0,NFCMultiPay APK sample (MQTT variant),high,2026-06-13,2026-06-13,1,2026-06-13_DevilNFC-NFCMultiPay-NFC-Relay,Cleafy
md5,9f5f2f0fb0a7f5aa9f16b9a7b6dad89f,Legitimate signed loader GoogleDesktop.exe abused to DLL-sideload GoogleServices.DLL (Umbrij),high,2026-07-06,2026-07-06,1,2026-07-06_ToddyCat-Umbrij-STRD-OAuth-Gmail,Securelist ToddyCat Umbrij (2026-06-30)
md5,a543b96b0938de798dd4f683dd92a94a,ABCDoor appclient.core .pyd (version v156),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,a7d7d6c4c3f227f7117261c63b9e23a9,Umbrij ver. a (.NET/MSIL DLL; STRD OAuth stealer),high,2026-07-06,2026-07-06,1,2026-07-06_ToddyCat-Umbrij-STRD-OAuth-Gmail,Securelist ToddyCat Umbrij (2026-06-30)
md5,aa62b3905be9b49551a07bc16eaad2ff,Dire Wolf family hash,medium,2026-06-30,2026-06-30,1,2026-06-30_DireWolf-Golang-DoubleExtortion-Ransomware,AhnLab ASEC 2025-09-01
md5,b188fbc6ff5557767e73e4c883a553a3,smokymo.msi MD5 alternate hash,high,2026-05-15,2026-05-15,1,2026-05-15_EtherRAT-TukTuk-Gentlemen,DFIR Report TB40048
md5,b2d51212744f404714fd909e87254d98,MVnVmUYj.cmd MD5 alternate hash,high,2026-05-15,2026-05-15,1,2026-05-15_EtherRAT-TukTuk-Gentlemen,DFIR Report TB40048
md5,bae82a15d1dbfb024617b9b56a8e5f66,Legitimate signed loader VSTestVideoRecorder.exe abused to sideload Microsoft.VisualStudio.QualityTools.VideoRecorderEngine.dll (Umbrij),high,2026-07-06,2026-07-06,1,2026-07-06_ToddyCat-Umbrij-STRD-OAuth-Gmail,Securelist ToddyCat Umbrij (2026-06-30)
md5,bc6912c853be5907438b4978f6c49e43,Dire Wolf family hash,medium,2026-06-30,2026-06-30,1,2026-06-30_DireWolf-Golang-DoubleExtortion-Ransomware,AhnLab ASEC 2025-09-01
md5,c50c980d3f4b7ed970f083b0d37a6a6a,ABCDoor appclient.core .pyd (version v143),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,c92cf9a1af5b1fe25cdcb8771ce52be4,A7Pnj975bl.cfg MD5 alternate hash,high,2026-05-15,2026-05-15,1,2026-05-15_EtherRAT-TukTuk-Gentlemen,DFIR Report TB40048
md5,ca8646dfc88423bb9fffda811160cebe,msimg32.dll BumbleBee loader,high,2026-07-03,2026-07-03,1,2026-07-03_BumbleBee-AdaptixC2-Akira-SEO-to-NTDS,The DFIR Report 2026-06-29
md5,caa5e8cf3275339d251210072ebe88c2,DevilNFC APK sample (dual-role reader),high,2026-06-13,2026-06-13,1,2026-06-13_DevilNFC-NFCMultiPay-NFC-Relay,Cleafy
md5,cf7cad39407d8cd93135be42b6bd258f,hlpdrv.sys,high,2026-05-12,2026-05-12,1,2026-05-12_Qilin-EDR-Killer-msimg32,Cisco Talos
md5,de8f0008b15f2404f721f76fac34456a,ABCDoor appclient.core .pyd (version v152),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,e6362a81991323e198a463a8ce255533,RustSL loader build with Japan added to country allow-list (2026-01-19),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,e66bae6e8621db2a835fa6721c3e5bbe,ValleyRAT plugin 保86.dll second variant,high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
md5,f169d6d172dfb775895a5e2b1540c854,Umbrij ver. c (adds -lport alias for the remote debug port),high,2026-07-06,2026-07-06,1,2026-07-06_ToddyCat-Umbrij-STRD-OAuth-Gmail,Securelist ToddyCat Umbrij (2026-06-30)
md5,f61fbfb7aa1cd5dc8f70b055b51563e2,Umbrij ver. b (adds -domainAd and -savepdf profile-to-PDF dump),high,2026-07-06,2026-07-06,1,2026-07-06_ToddyCat-Umbrij-STRD-OAuth-Gmail,Securelist ToddyCat Umbrij (2026-06-30)
md5,f985b8d6d635c266fc4779dad77aa75c,log4net.dll MD5 alternate hash,high,2026-05-15,2026-05-15,1,2026-05-15_EtherRAT-TukTuk-Gentlemen,DFIR Report TB40048
md5,fa08b243f12e31940b8b4b82d3498804,ABCDoor appclient.core .pyd (version v157 — August build),high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
mitre,Campaign C0063,2025 Poland Wiper Attacks,high,2026-05-04,2026-05-04,1,2026-05-04_C0063-Poland-Wiper,MITRE
mitre_alias,Gold Sahara,Secureworks alias,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Secureworks
mitre_alias,Howling Scorpius,Unit 42 alias,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Unit 42
mitre_alias,Punk Spider,CrowdStrike alias,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,CrowdStrike
mitre_alias,Storm-1567,Microsoft alias for Akira,high,2026-05-05,2026-05-05,1,2026-05-05_Akira-SonicWall-CVE-2024-40766,Microsoft
mutex,\Sessions\1\BaseNamedObjects\python(<pid>): AppClientABC,Named object Mutex used by ABCDoor to prevent double-execution,high,2026-05-18,2026-05-18,1,2026-05-18_SilverFox-ABCDoor-Tax-Phishing,Kaspersky Securelist 2026-04-30
mutex,boomplay.com/songs/182988982,Wide-string mutex in .rdata of the Windows variant (link to a legitimate music-streaming track),medium,2026-06-09,2026-06-09,1,2026-06-09_Kyber-Dual-ESXi-Windows-Backup-Hypervisor-Ransomware,Rapid7
mutex,Global\direwolfAppMutex,Single-instance execution guard,high,2026-06-30,2026-06-30,1,2026-06-30_DireWolf-Golang-DoubleExtortion-Ransomware,AhnLab ASEC 2025-09-01
note,.pfx exfiltration from compromised VMs,Endpoint credential collection - private keys can be reused elsewhere,medium,2026-05-20,2026-05-20,1,2026-05-20_Storm-2949-Cloud-Identity-SSPR,Microsoft Security Blog 2026-05-18
note,126-host cluster active 2026-05-06 to 2026-05-27 sharing banner hash febb622cd9eeb5c8860dcef4cbfd4b74,Single kit infrastructure cluster not 126 independent threats; Worker subdomains rotate in days,high,2026-06-10,2026-06-10,1,2026-06-10_Kali365-K365-OAuth-DeviceCode-PhaaS,Arctic Wolf Labs 2026-06-02
note,17000 LOC 49 modules Python framework,Size signature of the AI-built tooling,medium,2026-05-10,2026-05-10,1,2026-05-10_Mexico-Water-AI-Assisted-OT,https://www.dragos.com/blog/ai-assisted-ics-attack-water-utility
note,2001:470:63d::/48,Campaign A IPv6 prefix from Hurricane Electric (AS6939) tunnel allocation behind the reverse zone,high,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,Infoblox/CloudSEK
note,2026 saw a cluster of CISA ICS advisories for OCPP charging backends (ICSA-26-057-03 CloudCharge / -04 EV2GO / -05 Chargemap / -07 EV.energy / -08 Mobility46),Missing-authentication on OCPP WebSocket (CWE-306) is the dominant systemic class across vendors,high,2026-06-06,2026-06-06,1,2026-06-06_OCPP-EVCharging-ABB-TerraAC-CVE-2025-5517,CISA
note,2388 orgs exposed with injectable DSNs,Organizations with publicly discoverable Sentry DSNs identified by Tenet via Censys and GitHub passive recon,high,2026-06-20,2026-06-20,1,2026-06-20_Agentjacking-Sentry-MCP-DSN-Injection,Tenet Security blog 2026-06-17
note,2a0e:b107:27d0::/48,Campaign B IPv6 prefix from TMW Global Networks (AS215828),high,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,CloudSEK
note,71 Tranco top-1M,Number of exposed organizations in Tranco top-1 million by web traffic confirming enterprise scale exposure,medium,2026-06-20,2026-06-20,1,2026-06-20_Agentjacking-Sentry-MCP-DSN-Injection,Tenet Security blog 2026-06-17
note,85 pct success rate,Agent execution rate across 100+ organizations in controlled testing (Claude Code Cursor Codex) — 85% ran attacker npx payload,high,2026-06-20,2026-06-20,1,2026-06-20_Agentjacking-Sentry-MCP-DSN-Injection,Tenet Security blog 2026-06-17
note,[\w]{6,}\.([\da-f]\.){8,medium,2026-06-03,2026-06-03,1,2026-06-03_ip6arpa-Reverse-DNS-Phishing,Detection regex - DGA text label prefixed to an IPv6 nibble chain; legitimate PTR lookups never carry a text prefix
note,A DICOM receiver process (storescp/dcmqrscp/dcmrecv) spawning cmd/powershell/bash is code execution on the imaging host,Post-exploit RCE detection anchor after arbitrary file write,high,2026-07-05,2026-07-05,1,2026-07-05_DCMTK-DICOM-Toolkit-PathTraversal-FileWrite-ICSMA-26-181-01,Jarmi analysis
note,A DICOM storage receiver (storescp/dcmrecv/dcmqrscp) that writes a file with a script/executable extension or a path containing .. is arbitrary file write (CVE-2026-50003) and a likely path to code execution,Post-exploit file-write detection anchor,high,2026-07-05,2026-07-05,1,2026-07-05_DCMTK-DICOM-Toolkit-PathTraversal-FileWrite-ICSMA-26-181-01,Jarmi analysis
